plant_variety,repeat,fungusID,condition,experimental_replication,EVALUATION,DS,SBSX
William82,1,HS08,inplanta,1,14DAI,19.375,15.7421875
William82,2,HS08,inplanta,1,14DAI,20.625,14.66666667
William82,3,HS08,inplanta,1,14DAI,15.125,12.32407407
NK28P6XF,1,HS02,inplanta,1,14DAI,12.64,9.313684211
NK28P6XF,2,HS02,inplanta,1,14DAI,19.6875,12.3046875
NK28P6XF,3,HS02,inplanta,1,14DAI,17.8125,14.57386364
NK008PXF,1,HS02,inplanta,1,14DAI,12.16,6.08
NK008PXF,2,HS02,inplanta,1,14DAI,11.68,5.061333333
NK008PXF,3,HS02,inplanta,1,14DAI,11.27777778,6.315555556
S-26-E-3,1,HS02,inplanta,1,14DAI,17.1875,7.734375
S-26-E-3,2,HS02,inplanta,1,14DAI,11.68,7.008
S-26-E-3,3,HS02,inplanta,1,14DAI,13.6,7.873684211
William82,1,HS02,inplanta,1,14DAI,20,20
William82,2,HS02,inplanta,1,14DAI,12.04,5.733333333
William82,3,HS02,inplanta,1,14DAI,12.88,8.309677419
NK28P6XF,1,HS10,inplanta,1,14DAI,6.5625,4.632352941
NK28P6XF,2,HS10,inplanta,1,14DAI,7.6875,4.392857143
NK28P6XF,3,HS10,inplanta,1,14DAI,8.1875,4.962121212
NK008PXF,1,HS10,inplanta,1,14DAI,13.28,9.086315789
NK008PXF,2,HS10,inplanta,1,14DAI,10.0625,5.03125
NK008PXF,3,HS10,inplanta,1,14DAI,13.28,7.338947368
S-26-E-3,1,HS10,inplanta,1,14DAI,8.6,5.375
S-26-E-3,2,HS10,inplanta,1,14DAI,17.8125,8.015625
S-26-E-3,3,HS10,inplanta,1,14DAI,17.2,7.47826087
William82,1,HS10,inplanta,1,14DAI,7.08,5.414117647
William82,2,HS10,inplanta,1,14DAI,9.44,5.149090909
William82,3,HS10,inplanta,1,14DAI,19.375,15
NK28P6XF,1,HS05,inplanta,1,14DAI,2.222222222,1.052631579
NK28P6XF,2,HS05,inplanta,1,14DAI,4.8125,2.228009259
